"tweet_id","class"
6061792483,"None"
6061982669,"None"
6062596217,"None"
6062667242,"None"
6062752138,"Men"
6064490126,"None"
6087578518,"Men"
6087692661,"Gays"
6088726902,"None"
6089043412,"None"
6089424773,"None"
6094932516,"Women"
6095624634,"None"
6111146911,"None"
6111204268,"Men; Gays"
6121677209,"Men"
6156662182,"Men"
6156709839,"None"
6234622188,"Men; Women"
6248861887,"Men"
6249080780,"Women"
6249125896,"Vegetarians"
6318188469,"Homofobia"
6318251278,"None"
6318401100,"Men"
6318497474,"Men; Women"
6339287329,"Men"
6341964364,"None"
6349059608,"None"
6496670979,"Women"
6519977610,"None"
6520066796,"None"
6520427579,"Women"
6577279999,"None"
6671440970,"None"
6784246089,"Men"
6784285941,"Men"
6784402512,"Men"
7113718934,"Men"
7113725118,"Men"
7126848436,"Men"
7126861115,"None"
7126891783,"None"
7489763475,"Women"
7724593859,"Men"
7724627432,"None"
7737606227,"None"
7753000947,"Men; Gays"
7753068571,"Women"
7889049012,"None"
7891246696,"Women"
7931681167,"None"
7931798331,"None"
7971693461,"None"
8042277755,"None"
8261172891,"None"
8261264331,"Men"
8285527775,"None"
8285946002,"None"
8286030687,"Women"
8286187972,"Men"
8296813804,"None"
8354399820,"Women"
8355165183,"Women"
8355479608,"None"
8772328793,"Men"
8772347553,"None"
8773469089,"None"
8774376562,"None"
8774614412,"None"
8825059046,"Men"
8825093298,"Men"
8825127173,"Men"
8825157335,"Men"
8825208414,"None"
8825261416,"None"
8825287463,"Men"
8827135552,"None"
8827359061,"Men"
8837203802,"None"
8920835034,"Men"
8929622626,"Men"
8929672818,"Men"
9011654148,"None"
9262489439,"Men"
9262537980,"Men"
9262551197,"Men"
9263541175,"None"
9263546879,"None"
9811734110,"Disabled people"
9811782949,"None"
10038293842,"None"
10179240377,"Gays"
10179447978,"None"
10755764508,"Men"
10755880012,"None"
10755966640,"Men"
11015952503,"None"
11058774219,"Gays"
11058832022,"Men"
11067346075,"None"
11087895080,"Men"
11087970840,"None"
11291439436,"None"
16577117784,"Men; Gays"
16577134799,"Men"
16578458504,"Women"
16578513574,"Men"
16739535158,"None"
16961113301,"None"
16961181451,"None"
16961227890,"None"
17527977822,"None"
17528154674,"None"
17528253789,"None"
17528332767,"None"
17532758130,"None"
17532795862,"None"
17532982517,"None"
17533026403,"None"
17533038193,"None"
17835013468,"None"
17835651326,"None"
17837358192,"None"
17889859877,"None"
17889933345,"Men"
17890007373,"None"
17890047316,"None"
17890069953,"None"
17890139766,"Men"
17890159133,"Women"
17890403564,"None"
17890578549,"Women"
18074931149,"None"
18076026356,"None"
18080447006,"None"
18080758067,"None"
18080847617,"None"
18081023557,"None"
18081535120,"None"
18081778627,"None"
18082466316,"None"
18082542620,"None"
18083719844,"None"
18084292155,"None"
